"","gene_name","AD7M","WT7M","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000142192","hAPP","99829.5604963591","37.9945934492967","48647.9793550168","2.57766194886612","0.0822108829703297","31.354266682629","8.50967837621378e-216","1.75427019725647e-211"
"ENSG00000080815","hPsen1","6289.44350015274","1.57800965195237","3110.28059503283","2.35812391684723","0.0819802766968865","28.7645274187857","5.96154001930031e-182","6.14485737489379e-178"
"ENSMUSG00000068129","Cst7","1690.49578552646","5.35301803934727","207.055776363938","1.06629950230895","0.0489600838220518","21.778955816017","3.67349582461981e-105","2.52430388081791e-101"
"ENSMUSG00000018927","Ccl6","528.955426445298","36.6383071656848","136.746915909783","1.4110260069755","0.0767506382280573","18.3845507939982","1.74680588379284e-75","9.00260082359737e-72"
"ENSMUSG00000032011","Thy1","74794.3957556072","35389.8882896281","53331.1056179638","0.952851811903587","0.0530930866867679","17.9468151385717","5.0822539889937e-72","2.0954133196621e-68"
"ENSMUSG00000030579","Tyrobp","1735.82895165346","310.122889355334","550.376133189914","1.16240258907234","0.0810626246703284","14.3395626998223","1.23833268222945e-46","3.64688974916574e-43"
"ENSMUSG00000023992","Trem2","1786.17715947553","408.012159690742","624.096886777044","1.13299305545533","0.0822842701122787","13.7692544870281","3.90219120438466e-43","1.00554589597987e-39"
"ENSMUSG00000046805","Mpeg1","4664.81454111359","1168.73598821197","1848.785639776","1.12292065066602","0.0822531455229336","13.6520086074147","1.96389757828261e-42","4.49841650847733e-39"
"ENSMUSG00000028581","Laptm5","3292.93414815091","1281.53330447919","1632.80211341174","0.993234478346881","0.0744883757838955","13.334086934966","1.46639073257049e-40","3.02296449519407e-37"
"ENSMUSG00000021423","Ly86","762.510608337318","198.059928763005","316.513590834241","1.09317544111139","0.0822135048567195","13.2967867385847","2.41631351960062e-40","4.52839120059698e-37"
"ENSMUSG00000018774","Cd68","1608.49497628565","403.136399726445","628.581523746559","1.07747060602131","0.0823492660718234","13.0841555416118","4.05643216942997e-39","6.96861243106656e-36"
"ENSMUSG00000029816","Gpnmb","432.424744396906","81.0036680624815","191.531930467504","1.0168851887497","0.0797181849943823","12.7560002629433","2.88645743779533e-37","4.57725539078082e-34"
"ENSMUSG00000020932","Gfap","32740.2832534141","5152.33593071201","11379.0231518815","0.962418214983628","0.0767173422377957","12.5449890065337","4.23473112208689e-36","6.23564157727295e-33"
"ENSMUSG00000069516","Lyz2","1225.13471769718","181.454525832761","479.885035103901","0.938901802702546","0.0759142127219019","12.3679317618961","3.89727672288873e-35","5.35615730949008e-32"
"ENSMUSG00000007891","Ctsd","16089.1370739218","5693.43763455814","7273.6223101987","0.980107503264945","0.0796372557267536","12.3071481346347","8.29010378954207e-35","1.06812806013381e-31"
"ENSMUSG00000026177","Slc11a1","348.443485673747","61.0536575084661","120.246914288791","0.952404606098194","0.0776442907292381","12.2662541849912","1.37467143459866e-34","1.66699127201478e-31"
"ENSMUSG00000038642","Ctss","6537.21494481613","2409.99674275673","2989.89283841922","0.96257591615069","0.0789837729033006","12.1870085559114","3.64559397625309e-34","4.17521776780319e-31"
"ENSMUSG00000030789","Itgax","558.970830420539","7.25435459837358","173.241420358767","0.678120244956277","0.0557713844621874","12.1589279429855","5.1429167845032e-34","5.58006471118597e-31"
"ENSMUSG00000073418","C4b","2141.94307470003","426.865279051956","868.700347616952","0.94624927381406","0.079076515582276","11.9662489785545","5.33881414500217e-33","5.50298267996098e-30"
"ENSMUSG00000016256","Ctsz","3345.423227004","1228.78960205767","1611.36949972364","0.948353921127012","0.0793899364184575","11.9455180834044","6.85220310920876e-33","6.72657938553994e-30"
"ENSMUSG00000000290","Itgb2","673.428288905872","210.133915134532","307.526237629493","0.976989294138246","0.0819314582243978","11.9244709579368","8.82428073580144e-33","8.26875215311576e-30"
"ENSMUSG00000005142","Man2b1","2824.98833582497","1336.00192704665","1644.37749251074","0.820356124560811","0.0713431509393104","11.4987369321361","1.33859902104138e-30","1.14980078411534e-27"
"ENSMUSG00000020120","Plek","1236.37269473718","506.801942193078","674.942117363818","0.881360226725493","0.0774831127626528","11.3748686042762","5.57868095549457e-30","4.60018031590082e-27"
"ENSMUSG00000059498","Fcgr3","890.104483852041","353.486763610576","445.479829423899","0.892613126788064","0.0787539295181539","11.3342043025587","8.88357858394962e-30","7.0436527887739e-27"
"ENSMUSG00000028859","Csf3r","862.922175871284","284.603243000826","373.141419343702","0.927727022515003","0.082083564303315","11.3022263395735","1.27932899870094e-29","9.76791381785925e-27"
"ENSMUSG00000034708","Grn","4003.07451258319","2033.10663671152","2481.41241511329","0.766901073959832","0.0684614753381549","11.2019361279003","3.9891847301976e-29","2.93703725760799e-26"
"ENSMUSG00000026395","Ptprc","368.775242390162","105.959320684023","170.357451013349","0.918888861270822","0.0822919045155734","11.1662121162468","5.96716488364339e-29","4.24183117504512e-26"
"ENSMUSG00000033880","Lgals3bp","1274.42298939025","506.217054865769","669.801457501078","0.880711878282877","0.0789310576071496","11.1579890727715","6.54553851717062e-29","4.49787588438241e-26"
"ENSMUSG00000044468","Tent5c","336.846981018097","76.4103177017878","132.534999725949","0.881971093698776","0.0794865315096219","11.0958558254868","1.31396292117836e-28","8.46479550627869e-26"
"ENSMUSG00000036887","C1qa","5022.6016746914","1770.27385195669","2462.06510818435","0.90212611775149","0.081442235696867","11.0768830206143","1.62429164559761e-28","1.01469006890893e-25"
"ENSMUSG00000041515","Irf8","517.676289377351","174.266014202654","242.550433040134","0.900328069772862","0.0820500954804181","10.9729070332128","5.15866631575645e-28","3.12782076762703e-25"
"ENSMUSG00000025534","Gusb","1064.77323131996","472.753446270996","586.183418563154","0.831865980617204","0.0758923830137965","10.9611261049212","5.87635556651015e-28","3.46117342867448e-25"
"ENSMUSG00000021665","Hexb","3646.6960807588","1609.28599515139","2051.68634638934","0.824691350662976","0.0764857958663893","10.7822810931275","4.17404338770232e-27","2.26441853782851e-24"
"ENSMUSG00000025232","Hexa","3177.58161075637","1730.7083354625","1967.97852995094","0.706459042573777","0.0659981626818746","10.70422287328","9.72431426616577e-27","5.14017278453865e-24"
"ENSMUSG00000097415","AU020206","311.016737094552","72.9255358698565","120.464048434053","0.823036307614081","0.0784645805169204","10.4892717477359","9.67713732079269e-26","4.74986156828908e-23"
"ENSMUSG00000040552","C3ar1","280.106575975138","79.7516789667258","123.990384105753","0.840429203455856","0.0813651757925181","10.3291020423646","5.20455030334332e-25","2.49515824426564e-22"
"ENSMUSG00000020101","Vsir","2030.78062075075","1048.50417550567","1243.80465219157","0.727004626721303","0.0710160224581556","10.237191573911","1.35101140669044e-24","6.32979548839169e-22"
"ENSMUSG00000024300","Myo1f","253.546909128564","78.417049440364","129.635501585728","0.837855529864331","0.0822356551676921","10.188470294981","2.23249303240728e-24","1.00049660571904e-21"
"ENSMUSG00000024621","Csf1r","5724.31552581074","3136.21915524404","3706.72761528558","0.683325871371257","0.0680773441935277","10.0374930818207","1.04290938249165e-23","4.38766875919702e-21"
"ENSMUSG00000036896","C1qc","2998.95050683181","1156.49266936677","1576.67509677345","0.816732973448613","0.0814966060778105","10.0216808129264","1.22403341881843e-23","5.04668978578841e-21"
"ENSMUSG00000038147","Cd84","281.499562754712","76.3322093383821","131.736692726658","0.804124810132669","0.0805686612620503","9.98061526078044","1.85314086728764e-23","7.49068607434015e-21"
"ENSMUSG00000036905","C1qb","3541.26115349215","1430.32000510747","1946.26977085639","0.798704150127503","0.0809563560863585","9.86586092481118","5.85301616917186e-23","2.32038323706688e-20"
"ENSMUSG00000027848","Olfml3","1411.62884325079","640.832093231582","829.023339488249","0.765418798034616","0.0780870797268954","9.80211836211085","1.10248861258073e-22","4.28826466950034e-20"
"ENSMUSG00000022488","Nckap1l","819.680170979962","435.430372616368","519.726299738308","0.694467819674614","0.0712237853159033","9.75050422544095","1.83554287530094e-22","7.00735488413498e-20"
"ENSMUSG00000058715","Fcer1g","578.349369817141","226.798928737994","281.893914826828","0.796379837169449","0.0818456607098601","9.73026340385456","2.24012131868832e-22","8.39638199722904e-20"
"ENSMUSG00000030342","Cd9","1688.79176859029","765.125918554622","1029.59893239555","0.761097884450259","0.0782680423520707","9.72424838514085","2.37653985927447e-22","8.74863735695416e-20"
"ENSMUSG00000002603","Tgfb1","580.192200290506","274.52180005251","321.071159291901","0.745224311898509","0.0774945712237999","9.61647119443172","6.81283599616619e-22","2.4639756852801e-19"
"ENSMUSG00000032440","Tgfbr2","1433.15509486005","782.515532238534","887.570554797535","0.665170942250089","0.0711767798322392","9.34533627143388","9.15979376207008e-21","3.25567497250129e-18"
"ENSMUSG00000037686","Aspg","255.571077175516","71.8465106397005","108.328612954794","0.732512910307032","0.0787409992074382","9.3028145144218","1.367761866638e-20","4.77905269165126e-18"
"ENSMUSG00000022146","Osmr","378.388259202514","162.095465170061","214.050520121154","0.751670736601536","0.0809467637798843","9.28598873508431","1.60212667837957e-20","5.50464024579913e-18"
"ENSMUSG00000022817","Itgb5","2550.97641794505","1390.94825303724","1601.00299998582","0.661755859286469","0.0716104611857935","9.24105009698991","2.44089805907805e-20","8.2490349980154e-18"
"ENSMUSG00000059336","Slc14a1","850.390203560892","363.538620334477","514.704637048846","0.74061231496363","0.080910462990561","9.15348012592673","5.51283371904569e-20","1.80392170028773e-17"
"ENSMUSG00000040747","Cd53","406.686152785213","185.837675585653","236.585165054348","0.726389283813792","0.0797279059945176","9.11085365598015","8.17362727714365e-20","2.5922973279741e-17"
"ENSMUSG00000026656","Fcgr2b","505.273058048145","208.178961783349","252.440259445352","0.742209323985968","0.0820051400306683","9.05076588746018","1.41969033439198e-19","4.43438124901374e-17"
"ENSMUSG00000052336","Cx3cr1","3059.6480171486","1835.28282314799","2069.13311352355","0.593935445993377","0.0658823193452057","9.01509618811861","1.96697773308769e-19","5.91568236768987e-17"
"ENSMUSG00000004266","Ptpn6","312.943870331058","116.376550879381","170.944788032311","0.734282562145791","0.0823410662733886","8.91757412647328","4.76613229182834e-19","1.36463634994502e-16"
"ENSMUSG00000030124","Lag3","566.295020401754","207.794738081512","358.114762598536","0.733993874218898","0.082344717740833","8.91367284212483","4.93693513896046e-19","1.39417695739274e-16"
"ENSMUSG00000029771","Irf5","272.593689532213","134.436106628866","155.598504431055","0.694312341746386","0.0782169338735546","8.87675222438162","6.88409202928609e-19","1.89220742911644e-16"
"ENSMUSG00000036908","Unc93b1","843.877141662117","477.667060447918","531.388871469809","0.629247480809586","0.0708804254105207","8.87759176338391","6.83234670634608e-19","1.89220742911644e-16"
