"","gene_name","AD2M","WT2M","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000142192","hAPP","85446.9425041278","42.0140631069311","48647.9793550168","2.43407660838293","0.0822104616877536","29.6078693442676","1.18341610942809e-192","4.5595839280155e-188"
"ENSG00000080815","hPsen1","5482.00609297794","1.88269588722966","3110.28059503283","2.23102880910898","0.0819716223285869","27.217087398439","4.07742298648004e-163","7.85495151230448e-159"
"ENSMUSG00000032011","Thy1","68321.6276761256","33881.0777724393","53331.1056179638","0.892153548941638","0.0531052865458006","16.7997125516346","2.4522953571487e-63","3.14948292718607e-59"
"ENSMUSG00000027820","Mme","211.213077599863","340.672071306655","287.156023778934","-0.393499069283082","0.0813553816747645","-4.83679212342926","1.31951296153488e-06","0.0101679029789955"
